stimulus_id,n_constraints,delta_logit,l10h7_activation,l10h7_zscore
20,6,10.896745394756858,-0.042218513786792755,-0.12931107350352855
20,7,11.08577299998816,-0.043261781334877014,-0.1345859720958568
21,1,-0.36361318872079645,-0.014207697473466396,-0.03827877284256555
21,2,-1.0838415700925643,-0.01957074925303459,-0.06661825102945225
21,3,-0.86787748356994,-0.0215278510004282,-0.07695998267020934
21,4,-0.9521426108976587,-0.02216578833758831,-0.08033097590207129
21,5,-0.7634579567643525,-0.0270093884319067,-0.10592556362204857
21,6,-1.0054616832793613,-0.03208085894584656,-0.13272426591181266
21,7,-0.9653432242743648,-0.03444956988096237,-0.1452410258902441
22,1,8.00259480704061,0.008462904021143913,0.03331922779000421
22,2,8.71014801456454,0.005124361254274845,0.015929251435280106
22,3,8.82294429711919,0.0027159187011420727,0.0033840297696105365
22,4,8.93218408416163,-0.001971034100279212,-0.02102961536960135
22,5,8.76668481944237,-0.011095110327005386,-0.06855558131379953
22,6,8.567431434911907,-0.014660763554275036,-0.08712854252511136
22,7,8.396378919601368,-0.014940720051527023,-0.08858679458522474
23,1,8.150754955375234,-0.0173110943287611,-0.016684593060236882
23,2,6.153624787551808,-0.018478434532880783,-0.022780565222167853
23,3,4.426289462218021,-0.019079023972153664,-0.02591690584475284
23,4,3.956682188039253,-0.019532229751348495,-0.028283593639662954
23,5,3.895114643406459,-0.021802421659231186,-0.04013877229611141
23,6,3.277279918288236,-0.02619536779820919,-0.06307919470044976
23,7,3.091287799548194,-0.028452681377530098,-0.07486712138345657
24,1,5.460477465738544,-0.015234656631946564,0.012017292377642206
24,2,6.9661845673024585,-0.015287281945347786,0.011747972291033288
24,3,6.68893341079219,-0.018672171980142593,-0.005574848580023618
24,4,6.671494734720464,-0.01979704201221466,-0.011331585687728712
24,5,6.078355310919214,-0.024418117478489876,-0.03498082147118127
24,6,5.975745310235093,-0.030468113720417023,-0.06594283208072965
24,7,5.869948794888554,-0.034197937697172165,-0.08503091824179726
25,1,6.372965015307731,-0.00231522717513144,-0.026850657919025994
25,2,6.895223452547961,-0.006890414748340845,-0.04956236175613972
25,3,6.927091800124043,-0.013344062492251396,-0.08159893596940969
25,4,6.572143426517773,-0.020399589091539383,-0.11662329900891226
25,5,6.599915142495125,-0.022607503458857536,-0.12758361405738625
25,6,6.680561580356271,-0.02528655156493187,-0.14088268566416162
25,7,6.437989614970699,-0.027941444888710976,-0.15406185043587048
26,1,2.884707244212995,-0.009825006127357483,-0.03833840255412237
26,2,4.697695335003325,-0.010183747857809067,-0.040249668708829574
26,3,6.068025953289198,-0.012200086377561092,-0.050992103285323824
26,4,6.087058359004264,-0.013172457925975323,-0.05617260132201704
26,5,5.899838884221381,-0.014017006382346153,-0.06067209704179261
26,6,5.4564375071349955,-0.015078733675181866,-0.06632865513937271
26,7,5.4405253995481395,-0.015816977247595787,-0.07026179096973381
27,1,6.8244786677667415,-0.01756003499031067,-0.05068180249711754
27,2,6.4673072008522015,-0.022663798183202744,-0.07658587774188741
27,3,6.024453030357057,-0.02386610023677349,-0.08268814418442386
27,4,6.013575890155802,-0.02921118214726448,-0.10981702904170858
27,5,6.051751289088865,-0.030524812638759613,-0.11648434133842812
27,6,6.050354200103701,-0.03137512877583504,-0.12080010842325682
27,7,6.138558738587381,-0.03235965594649315,-0.12579706164098567
28,1,8.069118310179796,-0.0006467907223850489,-0.002679074720307879
28,2,8.827908107838175,-0.006616220343858004,-0.03380657647160007
28,3,9.373076813686852,-0.009866658598184586,-0.050755938281657254
28,4,8.971950296674082,-0.012559804134070873,-0.0647993055211725
28,5,8.950378219786849,-0.014434072189033031,-0.07457264834665167
28,6,9.018559710078785,-0.019747769460082054,-0.10228084353425188
28,7,8.571172548528192,-0.025984762236475945,-0.1348035493672579
29,1,7.108372108099876,-0.011067768558859825,-0.011436946538075811
29,2,6.553712284673065,-0.016555510461330414,-0.03927947032544524
29,3,5.537563840693399,-0.025069305673241615,-0.08247493212398778
29,4,5.738187471279837,-0.03046143241226673,-0.10983234427346016
29,5,6.2033276719591655,-0.03257071226835251,-0.12053395444591526
29,6,6.359977845764711,-0.03478434309363365,-0.13176499810735226
29,7,6.241345897195985,-0.03616974502801895,-0.13879395227442498
30,1,10.937329352993347,-0.011541501618921757,-0.04605424547165105
30,2,9.229431267351226,-0.016140460968017578,-0.06954172197643614
30,3,8.937989424262394,-0.018064677715301514,-0.0793689442263634
30,4,8.733140861007238,-0.019500495865941048,-0.08670185206885613
